,numero,nit,razon_social,supervisor,region,departamento,ciudad,ciiu,macrosector,ingresos_operacionales_2018,ganancia_perdida_2018,total_activos_2018,total_pasivos_2018,total_patrimonio_2018,ingresos_operacionales_2017,ganancia_perdida_2017,total_activos_2017,total_pasivos_2017,total_patrimonio_2017,grupo_en_niif
12,13,860002554,PRIMAX COLOMBIA S.A,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4661 - Comercio al por mayor de combustibles solidos liquidos gaseosos y productos conexos,COMERCIO,5906508047.0,126069745.0,1384963175.0,1009942475.0,375020700.0,5462496766.0,26120910.0,1172264515.0,919871559.0,252392956.0,NIIF PLENAS-GRUPO 1
13,14,890900943,Colombiana de comercio S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4719 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por productos diferentes de alimentos (viveres en general) bebidas y tabaco,COMERCIO,5773518009.0,190841884.0,3166454185.0,1456830276.0,1709623909.0,5177286721.0,143889015.0,2950818654.0,1302889809.0,1647928845.0,NIIF PLENAS-GRUPO 1
14,15,860069804,CARBONES DEL CERREJON LIMITED,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,B0510 - Extraccion de hulla (carbon de piedra),MINERO-HIDROCARBUROS,5225686577.0,968597017.0,6957642897.0,2900075201.0,4057567696.0,5033674872.0,1068701203.0,6653270260.0,2927218970.0,3726051290.0,NIIF PLENAS-GRUPO 1
15,16,830037248,CODENSA S.A. E.S.P.,SUPERSERVICIOS,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,D3514 - Comercializacion de energia electrica,SERVICIOS,5059808668.0,608640849.0,6824665149.0,4056827795.0,2767837354.0,4541571778.0,623485951.0,6184185749.0,3535367044.0,2648818705.0,NIIF PLENAS-GRUPO 1
16,17,900818921,KOPPS COMMERCIAL S A S,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4632 - Comercio al por mayor de bebidas y tabaco,COMERCIO,4680238004.0,194345714.0,2808783241.0,2511406497.0,297376744.0,95576064.0,30386116.0,122757992.0,19726962.0,103031030.0,NIIF PYMES-GRUPO 2
17,18,900585067,C.I. TRAFIGURA PETROLEUM COLOMBIA SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4661 - Comercio al por mayor de combustibles solidos liquidos gaseosos y productos conexos,COMERCIO,4624910164.0,3827980.0,467607695.0,449930622.0,17677073.0,2382184106.0,71933.0,494773997.0,482406219.0,12367778.0,NIIF PYMES-GRUPO 2
18,19,901097473,MEDIMAS EPS SAS,SUPERSALUD,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,4252498787.92,-699359291.31,1875886052.46,2037168794.75,-161282742.29,1738396946.34,38144067.85,2253046485.57,2196231536.55,56814949.02,NIIF PYMES-GRUPO 2
19,20,800251163,OLEODUCTO CENTRAL SA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,H4930 - Transporte por tuberias,SERVICIOS,4149457304.0,1988938305.0,6550709498.0,2677087505.0,3873621993.0,4062729821.0,1763668340.0,5424875246.0,2044297857.0,3380577389.0,NIIF PLENAS-GRUPO 1
20,21,800088702,EPS  SURA,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,3939304579.97,59486352.63,931602834.75,671199311.42,260403523.33,3262781735.08,40823915.19,721512723.71,523867610.89,197645112.82,NIIF PLENAS-GRUPO 1
21,22,900276962,KOBA COLOMBIA SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos bebidas o tabaco,COMERCIO,3811484857.0,-25111595.0,722379883.0,799380037.0,-77000154.0,3124608046.0,-69265664.0,648223159.0,700056139.0,-51832980.0,NIIF PLENAS-GRUPO 1
22,23,900155107,Cencosud Colombia S.A,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos bebidas o tabaco,COMERCIO,3772463923.0,-109706088.0,6256674395.0,1747187356.0,4509487039.0,3839177352.0,-52822867.0,6272267825.0,1653074698.0,4619193127.0,NIIF PLENAS-GRUPO 1
23,24,830053800,TELMEX COLOMBIA S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4690 - Comercio al por mayor no especializado,COMERCIO,3753099408.0,360902243.0,5593999692.0,1227746170.0,4366253522.0,3421914122.0,314450641.0,4981734070.0,1155679587.0,3826054483.0,NIIF PLENAS-GRUPO 1
24,25,860063875,EMGESA S.A. E.S.P.,SUPERSERVICIOS,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,D3511 - Generacion de energia electrica,SERVICIOS,3718448908.0,1020338048.0,9249963440.0,5010715434.0,4239248006.0,3425080901.0,887055685.0,9028370393.0,5180084093.0,3848286300.0,NIIF PLENAS-GRUPO 1
25,26,800242106,SODIMAC COLOMBIA SA,SUPERFINANCIERA,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,COMERCIO,3622711680.0,177837043.0,2493870730.0,1301606012.0,1192264718.0,3457047231.0,174246833.0,2283095225.0,1115436850.0,1167658375.0,NIIF PLENAS-GRUPO 1
26,27,900268747,PAREX RESOURCES COLOMBIA LTD. Sucursal,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extraccion de petroleo crudo,MINERO-HIDROCARBUROS,3612873299.0,1766691281.0,4235538350.0,1528181149.0,2707357201.0,1591411711.0,301333300.0,1834349240.0,597488013.0,1236861227.0,NIIF PLENAS-GRUPO 1
27,28,860005223,CHEVRON PETROLEUM COMPANY,SUPERFINANCIERA,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4661 - Comercio al por mayor de combustibles solidos liquidos gaseosos y productos conexos,COMERCIO,3596391000.0,144536000.0,1299100000.0,1102361000.0,196739000.0,3297938000.0,156011000.0,1260108000.0,1107002000.0,153106000.0,NIIF PLENAS-GRUPO 1
28,29,830126302,FRONTERA ENERGY COLOMBIA CORP. SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extraccion de petroleo crudo,MINERO-HIDROCARBUROS,3489742062.0,22250091.0,4570445536.0,2288225796.0,2282219740.0,3481533124.0,-491684486.0,4751646259.0,1901660142.0,2849986117.0,NIIF PLENAS-GRUPO 1
29,30,860041312,C.I. PRODECO S.A.,SUPERSOCIEDADES,Costa Atlantica,ATLANTICO,BARRANQUILLA-ATLANTICO,B0510 - Extraccion de hulla (carbon de piedra),MINERO-HIDROCARBUROS,3434029699.0,-81603010.0,4089093226.0,2624299292.0,1464793934.0,3689025228.0,236154199.0,3647635183.0,2203531884.0,1444103299.0,NIIF PLENAS-GRUPO 1
30,31,800251440,E.P.S. SANITAS S.A.,SUPERSALUD,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,3390854376.36,31261431.03,1245879311.06,1031761504.28,214117806.78,2683848828.56,-33000478.1,889561444.32,738703361.64,150858082.68,NIIF PLENAS-GRUPO 1
31,32,800216181,GRUPO AVAL ACCIONES Y VALORES S A,SUPERFINANCIERA,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4799 - Otros tipos de comercio al por menos no realizado en establecimientos puestos de venta o mercados,COMERCIO,3150418000.0,2887749000.0,20282237000.0,2060596000.0,18221641000.0,2274822000.0,2001178000.0,18933486000.0,2094993000.0,16838493000.0,NIIF PLENAS-GRUPO 1
32,33,900061554,GESTORA ADMINEGOCIOS Y CIA S EN C,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,M7010 - Actividades de administracion empresarial,SERVICIOS,3075885901.0,3041816259.0,6052109005.0,2330238419.0,3721870586.0,268942108.0,268917898.0,7882066066.0,99673.0,7881966393.0,NIIF PLENAS-GRUPO 1
33,34,805000427,COOMEVA EPS SA,SUPERSALUD,Costa Pacifica,VALLE,CALI-VALLE,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,2984184412.97,8471593.9,1645342128.71,2078876384.73,-433534256.02,3295650390.15,-797799744.79,1540804170.88,2036473923.73,-495669752.85,NIIF PLENAS-GRUPO 1
34,35,800130907,SALUD TOTAL S.A. EPS,SUPERSALUD,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,2723900586.85,50670242.12,1066935325.84,867828025.02,199107300.82,2264357157.16,85798836.85,830456122.29,665822026.32,164634095.97,NIIF PYMES-GRUPO 2
35,36,811000740,ISAGEN SA ESP,SUPERSERVICIOS,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,D3511 - Generacion de energia electrica,SERVICIOS,2675910000.0,454169000.0,18989502000.0,13077940000.0,5911562000.0,2366515000.0,353007000.0,19244256000.0,13758985000.0,5485271000.0,NIIF PLENAS-GRUPO 1
36,37,860025792,SOCIEDAD DE FABRICACION DE AUTOMOTORES SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,C2910 - Fabricacion de vehiculos automotores y sus motores,MANUFACTURA,2655492403.0,58278332.0,821243192.0,639116279.0,182126913.0,2714932282.0,121217294.0,743804794.0,561757402.0,182047392.0,NIIF PLENAS-GRUPO 1
37,38,830028931,Samsung Electronics Colombia S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4652 - Comercio al por mayor de equipo partes y piezas electronicos y de telecomunicaciones,COMERCIO,2636602189.0,13326552.0,1345500621.0,1198714770.0,146785851.0,2768734004.0,17059308.0,1172010423.0,1038551124.0,133459299.0,NIIF PLENAS-GRUPO 1
38,39,830078038,CERREJON ZONA NORTE S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,B0510 - Extraccion de hulla (carbon de piedra),MINERO-HIDROCARBUROS,2598663471.0,512853825.0,4220730380.0,1597679334.0,2623051046.0,2530965808.0,483783692.0,3548641185.0,1239841596.0,2308799589.0,NIIF PLENAS-GRUPO 1
39,40,860002304,General Motors Colmotores S.A,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,C2910 - Fabricacion de vehiculos automotores y sus motores,MANUFACTURA,2585957735.0,81748976.0,1264482872.0,861453540.0,403029332.0,2243125518.0,-77924454.0,1061522462.0,721763980.0,339758482.0,NIIF PLENAS-GRUPO 1
40,41,900092385,UNE EPM TELECOMUNICACIONES  S.A.,SUPERSERVICIOS,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,J6110 - Actividades de telecomunicaciones alambricas,SERVICIOS,2540501000.0,-31177000.0,5173640000.0,3281999000.0,1891641000.0,2512048000.0,-10554000.0,5270456000.0,3252516000.0,2017940000.0,NIIF PLENAS-GRUPO 1
41,42,860066942,COMPENSAR,SUPERSALUD,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,M7010 - Actividades de administracion empresarial,SERVICIOS,2521778649.24,23680434.68,1173799210.91,603872914.31,569926296.6,2160017315.31,201462884.34,905732626.1,479034100.94,426698525.16,NIIF PLENAS-GRUPO 1
42,43,830136799,BIOCOMBUSTIBLES S.A. - BIOMAX,SUPERFINANCIERA,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4661 - Comercio al por mayor de combustibles solidos liquidos gaseosos y productos conexos,COMERCIO,2407436665.0,67875223.0,709655278.0,431234930.0,278420348.0,2265623033.0,46224035.0,681412409.0,415758666.0,265653743.0,NIIF PLENAS-GRUPO 1
43,44,830003564,FAMISANAR  LTDA.  CAFAM - COLSUBSIDIO E.P.S.,SUPERSALUD,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,2345554517.16,-12095094.97,877388656.75,981581889.17,-104193232.41,1981357025.48,-160748920.15,762465893.19,763193813.35,-727920.15,NIIF PYMES-GRUPO 2
45,46,800059470,POLIPROPILENO DEL CARIBE S.A.,SUPERSOCIEDADES,Costa Atlantica,BOLIVAR,CARTAGENA-BOLIVAR,C2013 - Fabricacion de plasticos en formas primarias,MANUFACTURA,2329130306.0,158323546.0,2023509798.0,406658414.0,1616851384.0,2003246804.0,160536152.0,1926012012.0,405866107.0,1520145905.0,NIIF PLENAS-GRUPO 1
46,47,900480569,JERONIM MARTINS COLOMBIA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos bebidas o tabaco,COMERCIO,2259151269.0,-384600460.0,1646322370.0,1578292386.0,68029984.0,1438883069.0,-346370368.0,1273103474.0,1089548827.0,183554647.0,NIIF PLENAS-GRUPO 1
47,48,830114921,Colombia Movil S.A. E.S.P.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,J6120 - Actividades de telecomunicaciones inalambricas,SERVICIOS,2151530485.0,-22483321.0,2284808224.0,2011997027.0,272811197.0,2172613892.0,88619500.0,2339400225.0,2004123233.0,335276992.0,NIIF PLENAS-GRUPO 1
48,49,860016610,INTERCONEXION ELECTRICA S.A. E.S.P. (ISA),SUPERSERVICIOS,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,D3512 - Transmision de energia electrica,SERVICIOS,2041138000.0,1529155000.0,18104123000.0,6210883000.0,11893240000.0,2021582000.0,1442708000.0,16726509000.0,5750381000.0,10976128000.0,NIIF PLENAS-GRUPO 1
49,50,900473830,GUNVOR COLOMBIA CI SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4661 - Comercio al por mayor de combustibles solidos liquidos gaseosos y productos conexos,COMERCIO,2039635076.0,2886353.0,164354785.0,160614564.0,3740221.0,1282631784.0,453238.0,244135123.0,243155774.0,979349.0,NIIF PYMES-GRUPO 2
50,51,816001182,AUDIFARMA SA,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,G4645 - Comercio al por mayor de productos farmaceuticos medicinales cosmeticos y de tocador,COMERCIO,2038983194.0,11522593.0,1449498022.0,1209012689.0,240485333.0,1711203184.0,55311352.0,1147026094.0,918672812.0,228353282.0,NIIF PLENAS-GRUPO 1
51,52,899999082,GRUPO ENERGIA BOGOTA S.A. E.S.P.,SUPERSERVICIOS,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,D3512 - Transmision de energia electrica,SERVICIOS,2033704000.0,1703693000.0,17037219000.0,4480769000.0,12556450000.0,1854310000.0,1500121000.0,15921655000.0,4341187000.0,11580468000.0,NIIF PLENAS-GRUPO 1
52,53,890100251,CEMENTOS ARGOS S.A,SUPERFINANCIERA,Costa Atlantica,ATLANTICO,BARRANQUILLA-ATLANTICO,C2394 - Fabricacion de cemento cal y yeso,MANUFACTURA,1986339000.0,178506000.0,13799209000.0,5341070000.0,8458139000.0,1714044000.0,-10807000.0,13373883000.0,5036635000.0,8337248000.0,NIIF PLENAS-GRUPO 1
53,54,860074450,QUALA SA,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,C1089 - Elaboracion de otros productos alimenticios n.c.p.,MANUFACTURA,1892268732.0,634613734.0,1071323989.0,304499050.0,766824939.0,2394212166.0,639475402.0,1521837930.0,328755544.0,1193082386.0,NIIF PLENAS-GRUPO 1
54,55,900017447,FALABELLA DE COLOMBIA S.A.,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4719 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por productos diferentes de alimentos (viveres en general) bebidas y tabaco,COMERCIO,1882300829.0,15200709.0,1038433329.0,670638736.0,367794593.0,1649847477.0,-21422374.0,1095382815.0,802826863.0,292555952.0,NIIF PLENAS-GRUPO 1
55,56,811009788,DISTRACOM S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,G4731 - Comercio al por menor de combustible para automotores,COMERCIO,1851017938.0,38095368.0,947251651.0,390395319.0,556856332.0,1646737079.0,28261373.0,798999187.0,361047799.0,437951388.0,NIIF PLENAS-GRUPO 1
56,57,814000337,EMSSANAR ESS,SUPERSALUD,Costa Pacifica,NARIÑO,PASTO-NARINO,Q8699- Otras actividades de atencion de la salud humana,SERVICIOS,1804994430.5,-71361122.45,429134710.03,850121358.68,-420986648.65,1687585895.29,-365211593.42,402172960.83,751829154.43,-349656193.6,NIIF PYMES-GRUPO 2
57,58,860025900,ALPINA PRODUCTOS ALIMENTICIOS S A,SUPERFINANCIERA,Bogota - Cundinamarca,CUNDINAMARCA,SOPO-CUNDINAMARCA,C1040 - Elaboracion de productos lacteos,MANUFACTURA,1797323048.0,85630850.0,1078945269.0,914535713.0,164409556.0,1795762249.0,81155678.0,1019465407.0,874681603.0,144783804.0,NIIF PLENAS-GRUPO 1
58,59,890903939,POSTOBON SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,C1104 - Elaboracion de bebidas no alcoholicas produccion de aguas minerales y de otras aguas embotelladas,MANUFACTURA,1750382430.0,67190567.0,3410220662.0,1318000273.0,2092220389.0,1625015692.0,78659465.0,3167796647.0,1141951978.0,2025844669.0,NIIF PLENAS-GRUPO 1
59,60,900226715,COOSALUD S.A,SUPERSALUD,Costa Atlantica,BOLIVAR,CARTAGENA-BOLIVAR,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,1745962935.57,2637683.12,697942017.55,629705236.67,68236780.88,251938023.4,2235499.07,366019129.99,331480606.63,34538523.36,NIIF PYMES-GRUPO 2
60,61,860516431,GRAN TIERRA ENERGY COLOMBIA LTD,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extraccion de petroleo crudo,MINERO-HIDROCARBUROS,1745876000.0,186825000.0,3493114000.0,661254000.0,2831860000.0,1179439000.0,158172000.0,3114754000.0,492263000.0,2622491000.0,NIIF PLENAS-GRUPO 1
61,62,890901271,CONTEGRAL S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,C1090 - Elaboracion de alimentos preparados para animales,MANUFACTURA,1740281490.0,77553970.0,1178258473.0,607134957.0,571123516.0,1667811116.0,84458105.0,1081514094.0,570461122.0,511052972.0,NIIF PLENAS-GRUPO 1
62,63,890304130,ALIMENTOS CARNICOS S.A.S.,SUPERSOCIEDADES,Costa Pacifica,VALLE,YUMBO-VALLE,C1011 - Procesamiento y conservacion de carne y productos carnicos,MANUFACTURA,1730630662.0,97518798.0,2011819721.0,1042911357.0,968908364.0,1700467733.0,67356508.0,1984269961.0,1088886682.0,895383279.0,NIIF PLENAS-GRUPO 1
63,369,800041829,YOKOMOTOR S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,G4511 - Comercio de vehiculos automotores nuevos,COMERCIO,390687497.0,6012687.0,164419121.0,96419900.0,67999221.0,294867216.0,4273039.0,140549483.0,75437195.0,65112288.0,NIIF PYMES-GRUPO 2
64,64,800246860,EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.,SUPERSERVICIOS,Costa Pacifica,VALLE,YUMBO-VALLE,D3513- Distribucion de energia electrica,SERVICIOS,1728898000.0,316594000.0,6120084000.0,3043749000.0,3076335000.0,1601862000.0,209791000.0,4914137000.0,1982789000.0,2931348000.0,NIIF PLENAS-GRUPO 1
65,65,800149695,DROGUERIAS Y FARMACIAS CRUZ VERDE SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,G4773 - Comercio al por menor de productos farmaceuticos y medicinales cosmeticos y articulos de tocador en establecimientos especializados,COMERCIO,1696871205.0,38694540.0,850716785.0,623002638.0,227714147.0,1425479496.0,27283958.0,702330466.0,512717640.0,189612826.0,NIIF PLENAS-GRUPO 1
66,66,900331322,VERANO ENERGY (BARBADOS) LIMITED SUCURSAL,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extraccion de petroleo crudo,MINERO-HIDROCARBUROS,1670932242.0,515536530.0,4077215192.0,3366752773.0,710462419.0,471406424.0,304402554.0,218756967.0,85946477.0,132810490.0,NIIF PLENAS-GRUPO 1
67,67,860004864,OCCIDENTAL ANDINA LLC,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extraccion de petroleo crudo,MINERO-HIDROCARBUROS,1662646597.0,480249810.0,4343852223.0,1288932990.0,3054919233.0,1591207292.0,489774040.0,3737389144.0,1262691441.0,2474697703.0,NIIF PLENAS-GRUPO 1
